タイトル,ふりがな,分類,現市町村,伝承地,キーワード,話者,採集者,引用,著者,論文名,著者・編者,文献名,出版社,和暦,西暦,リンク,県図書,デジコレ,備考
椎葉山ものがたり,,昔話,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
トラたいじの平右衛門,,昔話,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
人丸と景清,,昔話,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
西郷いくさの馬,,昔話,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
ひやのごぜん,,昔話,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
出雲の神と山ん神		,,昔話,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
目ひとつ五郎		,,昔話,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
三合めし　四合だご	,,昔話,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
泰衛門こかし		,,昔話,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
サルとはいわん,,昔話,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
分校のお客さん,,昔話,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
蛇淵の生うるし,,昔話,,,蛇、,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
紙緒のぞうり,,昔話,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
なたとり淵,,昔話,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
おせりの滝,,昔話,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
土呂久のゆめ買い長者,,昔話,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
おっから　すっつぼ,,昔話,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
小判千両朱千だる,,昔話,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
こんまい子のおにたいじ,,昔話,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
跡江の半ぴどん,,昔話,,,半平、,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
大師みこし,,昔話,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
べろだし本尊,,昔話,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
ミミズのたべるもの	,,昔話,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
ミソチュウの知恵,,昔話,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
カニとビキ,,昔話,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
とんち市次郎,,昔話,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56,1981,,,,
よだきい,,昔話,,清武町,,藤田捨吉,比江島重孝,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,https://dl.ndl.go.jp/pid/12468503,,,
びん棒,,昔話,,宮崎市,,酒井イヨ,比江島重孝,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
よだきごろ,,昔話,,川南町,,瓜生源行,比江島重孝,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
奈須の人,,昔話,,五ヶ瀬町,,佐伯利兵衛,比江島重孝,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
日本ひれえ,,昔話,,諸塚村寿会,,椿サダノ,椿サダノ,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
町見物,,昔話,,諸塚村寿会,,川口大四郎,比江島重孝,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
半ぴどんの粟作り,,昔話,,宮崎市檍今村,半平,清水清馬,比江島重孝,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
麦屁,,昔話,,清武町,,井川佐吉,比江島重孝,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
からいも屁,,昔話,,清武町,,藤田捨吉,比江島重孝,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
風の神様,,昔話,,佐土原町,,横川ヒサエ,比江島重孝,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
アブ蜂とらず,,昔話,,,,,比江島重孝,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
里くだり,,昔話,,西都市,,西原ハツ,比江島重孝,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
,,昔話,,,,,,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
,,昔話,,,,,,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
,,昔話,,,,,,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
,,昔話,,,,,,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
,,昔話,,,,,,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
,,昔話,,,,,,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
,,昔話,,,,,,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
,,昔話,,,,,,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
,,昔話,,,,,,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
,,昔話,,,,,,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
,,昔話,,,,,,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
,,昔話,,,,,,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
,,昔話,,,,,,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
,,昔話,,,,,,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
,,昔話,,,,,,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
,,昔話,,,,,,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
,,昔話,,,,,,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
,,昔話,,,,,,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
,,昔話,,,,,,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
,,昔話,,,,,,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56年8月,1981,,,,
,,,,,,,,,,,諸塚村寿会連合会編,ことぶき　遺産号1981,諸塚村寿会連合会,昭和56,1981,,,,
,,,,,,,,,,,大町三男著・馬渡重明書・弥勒祐徳絵,都於郡城伊東氏　史跡歌留多,大町三男著・馬渡重明書・弥勒祐徳絵,昭和56,1981,,,,
,,,,,,,,,,,田野町史編纂委員会編,田野町に伝わるふるさとむかしばなし　第一編,田野町教育委員会,昭和56,1981,,,,
,,,,,,,,,,,日本児童文学者協会,ふるさとの民話(23)宮崎県の民話,階成社,昭和56,1981,,,,
,,,,,,,,,,,比江島重孝,ふるさと民話考,鉱脈社,昭和56,1981,,,,
,,,,,,,,,,日向の河童伝承−伝承存在と意識−,矢口裕康,日本民族学第133号,日本民俗学会,昭和56,1981,,,,
,,,,,,,,,,,渡辺克巳,真説　山弥長者,双林社,昭和56,1981,,,,
,,,,,,,,,,,日本児童文学協会編,宮崎県の民話（県別ふるさとの民話23）,偕成社,昭和56年,1981,,,,
谷村計介のふるさと,,昔話,,,,,,,,,比江島重孝,みやざき民話と伝説の旅 第２集,宮崎市,昭和57年3月,1982,,,,
宮崎城の落城,,昔話,,,,,,,,,比江島重孝,みやざき民話と伝説の旅 第２集,宮崎市,昭和57年3月,1982,,,,
刀工・鬼正,,昔話,,,,,,,,,比江島重孝,みやざき民話と伝説の旅 第２集,宮崎市,昭和57年3月,1982,,,,
悲劇の志津摩騒動,,昔話,,,,,,,,,比江島重孝,みやざき民話と伝説の旅 第２集,宮崎市,昭和57年3月,1982,,,,
桜子物語,,昔話,,,,,,,,,比江島重孝,みやざき民話と伝説の旅 第２集,宮崎市,昭和57年3月,1982,,,,
血をふく知福川,,昔話,,,,,,,,,比江島重孝,みやざき民話と伝説の旅 第２集,宮崎市,昭和57年3月,1982,,,,
日の御崎観音,,昔話,,,,,,,,,比江島重孝,みやざき民話と伝説の旅 第２集,宮崎市,昭和57年3月,1982,,,,
儒学者　安井息軒,,昔話,,,,,,,,,比江島重孝,みやざき民話と伝説の旅 第２集,宮崎市,昭和57年3月,1982,,,,
,,,,,,,,,,,五ケ瀬教育委員会,五ケ瀬の民話,五ケ瀬教育委員会,昭和57,1982,,,,
,,,,,,,,,,,諸塚村寿会連合会編,ことぶき　生い立ち号1982,諸塚村寿会連合会,昭和57,1982,,,,
,,,,,,,,,,つき入れ餅と日本の歴史との関係,志賀リツ　河野千賀子,延岡短大紀要第12号,緑ケ丘学園延岡短期大学,昭和57,1982,,,,
,,,,,,,,,,,清野巌,西都の民話 第２巻,清野巌,昭和57,1982,,,,
,,,,,,,,,,,継松敏夫編,綾のむかし話　第一集,継松敏夫編,昭和57,1982,,,,
,,,,,,,,,,,松永伍一,落人伝説の里,角川書店,昭和57,1982,,,,
,,,,,,,,,,,高橋政秋　他,熊本・宮崎のわらべ歌,柳原書店,昭和57,1982,,,,
,,,,,,,,,比江島重孝,特別寄稿　民話と旅人のこころ,,さいごう文芸　10,西郷村文化協会,昭和57年5月,1982,,,,
,,,,,,,,,,,清野巌,西都の民話 第3巻,清野巌,昭和58年,1983,,,,
水掛け地蔵,,昔話,,,,,,,,,比江島重孝,みやざき民話と伝説の旅 第１集,宮崎市,昭和58年3月,1983,,,,
小門の阿波岐原,,昔話,,,,,,,,,比江島重孝,みやざき民話と伝説の旅 第１集,宮崎市,昭和58年3月,1983,,,,
海幸彦・山幸彦,,昔話,,,,,,,,,比江島重孝,みやざき民話と伝説の旅 第１集,宮崎市,昭和58年3月,1983,,,,
魚籃の観音,,昔話,,,,,,,,,比江島重孝,みやざき民話と伝説の旅 第１集,宮崎市,昭和58年3月,1983,,,,
悪七兵衛　景清と人丸姫,,昔話,,,,,,,,,比江島重孝,みやざき民話と伝説の旅 第１集,宮崎市,昭和58年3月,1983,,,,
霞流の剣士　与市左衛門,,昔話,,,,,,,,,比江島重孝,みやざき民話と伝説の旅 第１集,宮崎市,昭和58年3月,1983,,,,
跡江の　半ぴどん,,昔話,,,半平、,,,,,,比江島重孝,みやざき民話と伝説の旅 第１集,宮崎市,昭和58年3月,1983,,,,
萩原のつゆ,,昔話,,,,,,,,,比江島重孝,みやざき民話と伝説の旅 第１集,宮崎市,昭和58年3月,1983,,,,
,,,,,,,,,,,諸塚村寿会連合会編,ことぶき　知恵号1983,諸塚村寿会連合会,昭和58,1983,,,,
,,,,,,,,,,,清野巌,西都の民話 第３巻,清野巌,昭和58,1983,,,,
,,,,,,,,,,,数学局編,大東亜戦争とわれら 戦争を考える資料　その１,巷論社,昭和58,1983,,,,
,,,,,,,,,,,継松敏夫編,綾のむかし話　第二集,継松敏夫編,昭和58,1983,,,,
,,,,,,,,,,,荒木博之,日本伝説大系　第十四巻　南九州（熊本・宮崎・鹿児島）,みずつみ書房,昭和58,1983,,,,
,,,,,,,,,,,天本孝志,九州の山と伝説(総集編),葦書房,昭和58,1983,,,,
,,,,,,,,,比江島重孝,日向こども　民話・西郷編　竜の駒・トキふれ坊主,,さいごう文芸　14,西郷村文化協会,昭和58年6月,1983,,,,
,,,,,,,,,,,中武雅周,伝承米良神楽,私家版,昭和58年6月,1983,,,,
,,,,,,,,,,,中武雅周,ふるさとの記米良の荘,私家版,昭和58年6月,1983,,,,
,,,,,,,,,,,,川南町史,川南町,昭和58年,1983,https://dl.ndl.go.jp/pid/9774730/1/514,,,
,,,,,,,,,,,,ふるさとの轍,門川町老人クラブ連合会,,1983,,,,
,,,,,,,,,,,宮崎農業改良普及所編,たばる（農村高齢者活動促進特別事業記念誌誌） 今語り伝えるふるさと,宮崎農業改良普及所編,昭和59,1984,,,,
,,,,,,,,,,,諸塚村寿会連合会編,ことぶき　わが家の歴史号1984,諸塚村寿会連合会,昭和59,1984,,,,
,,,,,,,,,,,田野町史編纂委員会編,田野町に伝わるふるさとむかしばなし　第二編,田野町教育委員会,昭和59,1984,,,,
,,,,,,,,,,,須木村教育委員会,ふるさとの歌,須木村教育委員会,昭和59,1984,,,,
,,,,,,,,,,,小学館,南九州　海幸・山幸,小学館,昭和59,1984,,,,
,,,,,,,,,,,宮崎県児童文学まりの会編,まりの会作品集vol.5,,昭和59,1984,,,,
,,,,,,,,,,,鬼塚栄子,ときが原の女ぎつね,鉱脈社,昭和59,1984,,,,
,,,,,,,,,,,伊藤忠郎,よろずきき書き郷土の地名雑録,地域文化研究所,昭和60,1985,,,,
,,,,,,,,,,,福富健男編,河童手帖,鉱脈社,昭和60,1985,,,,
,,,,,,,,,,,比江島重孝,新編　日本の民話43,未来社,昭和60,1985,,,,
天狗松のはなし,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
お仙女ぎつね,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
石の経文,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
ひょうすんぼの謀りごと,,昔話,,高鍋町,河童、,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
天狗の騒音,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
米べと芋べ,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
洗橋下の怪「米とぎチンジョキジョキ」,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
法印さんが狐に化かされた話,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
狐の仕返し,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
おるか！おるか！,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
お鶴が滝,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
大きな大きな大根の話,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
河童の腕,,昔話,,高鍋町,河童、,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
竜の絵,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
ひょうすんぼ石,,昔話,,高鍋町,河童、,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
大宮神社と大寺与惣右衛門,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
順礼堂権現の物語,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
柔道の大家・山名熊四郎重広のこと,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
怪力・力士名貫川,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
狐にたぶらかされた両医,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
耳切り・血の池の話,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
片びんおとしの松,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
直五郎さんの潜水機,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
大竜寺の宝もの,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
昔、宿の坂である夜の出来ごと,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
幽霊を捕える,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
大蛇がいたはなし,,昔話,,高鍋町,蛇、,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
狐に化かされたお坊さん,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
奇妙な色合いの大男,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
大蛇がいた,,昔話,,高鍋町,蛇、,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
晩翆舎の松の大木に鍋のふた下がる,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
七十五日長生きする,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
地名鴫野の由来,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
地名お屋敷について,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
木彫・薬師如来,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
覚照寺の由来,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
宮田・潮垂権現のこと,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
中尾・お大師さん,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
上永谷”かがや”行事,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
蚊口浦むかしの思い出,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
萩原の昔と今,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
鴫野のむかし,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
比木神社お里まわり,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
青木の稲作・大溜池の始末,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
竹鳩のむかし,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
新山のおもかげ,,昔話,,高鍋町,,,,,,,ふるさとを伝える会,たかなべむかしばなし−民話．伝説．物語．由来−第１集,高鍋町教育委員会,昭和61,1986,,,,
,,,,,,,,,,,猪須克己,山のよもやま話　大吹谷の女郎墓,ささゆりの会,昭和61,1986,,,,
,,,,,,,,,,,南郷村役場企画課,神門物語−百済伝説,南郷村役場企画課,昭和61,1986,,,,
,,,,,,,,,,,故郷もろかたものしりどん編集委員会,故郷もろかたものしりどん,北諸県・西諸県社会福祉協議会,昭和61,1986,,,,
,,,,,,,,,,,猪須克巳,大吹谷の女郎墓,ささゆりの会,昭和61,1986,,,,
,,,,,,,,,,,小泉文夫,子どもの遊びと歌,草思社,昭和61,1986,,,,
中野の牢屋跡,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
やくさん馬場,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
下中野の花立,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
八幡坂とチンチン坂,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
下加納の副神屋敷,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
下加納の追分,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
ぎにょもんと鎌倉,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
上加納の「すげんだ」,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
さくら町と鎌倉,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
堰前出鼻と梅ヶ谷,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
上岡と伝法,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
二つの流町,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
船引のめくら谷,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
船引の「はま」,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
石坂の源屋敷,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
地区の愛称,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
下加納の貧乏神,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
火の峰の火玉,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
八重川の河童,,,宮崎市,清武町,河童、,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
上ノ迫池の河童,,,宮崎市,清武町,河童、,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
岩見田の住吉がま,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
南加納の政所,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
岩見田の天狗杉,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
白砂坂の蛇塚,,,宮崎市,清武町,蛇、,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
チンチン坂,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
六部の供養塚,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
津波地蔵と長峰,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
咎塚の亡霊,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
城内の狐,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
昔の加納小学校,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
昔の中野小学校,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
新町の大火事,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
おかねと新吉,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
上使端の河童,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
松井いぜきの河童,,,宮崎市,清武町,,,,,,,,清武に伝わる民話と風俗,清武町教育委員会,昭和61年,1986,,,,
