タイトル,ふりがな,分類,現市町村,伝承地,キーワード,話者,採集者,引用,著者,論文名,著者・編者,文献名,出版社,和暦,西暦,リンク,県図書,デジコレ,備考
一三、　川邊驛址/10,一三、　かわずらえきあと/10,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
一四、　景行天皇御腰掛石/11,一四、　景行天皇御腰掛石/11,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
一五、　堂ノ上（ドウノウエ）/11,一五、　堂ノ上（ドウノウエ）/11,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
一六、　御陵森（ミサキモリ）/11,一六、　御陵森（ミサキモリ）/11,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
速日峰（高千穗峰舊址）と傳説/14,速日峰（高千穗峰舊址）と傳説/14,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
一、　速日峰/14,一、　速日峰/14,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
二、　二個の傳説/15,二、　二個の傳説/15,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
愛宕山（笠沙御前舊址）と周圍の遺蹟及び傳説/20,愛宕山（笠沙御前舊址）と周圍の遺蹟及び傳説/20,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
總説/20,總説/20,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
一、　沖田の貝塚/21,一、　沖田の貝塚/21,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
二、　笠沙御前説/24,二、　笠沙御前説/24,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
三、　妙見山/26,三、　妙見山/26,伝説,延岡市,延岡市,,,,,,,山口徳之助,延岡附近神代遺蹟と伝説 : 秩父宮殿下御台臨記念,大成舎,大正14,1924,https://dl.ndl.go.jp/pid/918691,,,
